eval,pop_size,avg_fitness,fitness_variance,mutation_amount,recombination_amount
7340,100,1.6005716874270167E-9,2.266108494325028E-16,10,10
7360,100,1.6005714218192E-9,2.266108502913343E-16,10,10
7380,100,1.6000959776414098E-9,2.266123647380964E-16,10,10
7400,100,1.6000977865082169E-9,2.2661235889123097E-16,10,10
7420,100,2.2705572310623724E-9,2.693948241675904E-16,10,10
7440,100,2.270585535128899E-9,2.693946943740558E-16,10,10
7460,100,2.270569046392106E-9,2.6939476997136253E-16,10,10
7480,100,2.2705813019715583E-9,2.693947137775592E-16,10,10
7500,100,2.328167274531172E-9,2.6945434102023605E-16,10,10
7520,100,2.3281653538634157E-9,2.694543500534684E-16,10,10
7540,100,2.328165354392314E-9,2.6945435005098016E-16,10,10
7560,100,2.3281658886301404E-9,2.694543475382982E-16,10,10
7580,100,2.328163043810065E-9,2.694543609177014E-16,10,10
7600,100,2.328163053502248E-9,2.6945436087211494E-16,10,10
7620,100,2.3282822714998184E-9,2.6945380214367077E-16,10,10
7640,100,2.3284783033406807E-9,2.694528848323322E-16,10,10
7660,100,2.3284404068585536E-9,2.6945306295336695E-16,10,10
7680,100,2.3257712936249607E-9,2.694649011914875E-16,10,10
7700,100,2.3257713970420186E-9,2.694649007055802E-16,10,10
7720,100,2.325756063750087E-9,2.694649727254985E-16,10,10
7740,100,2.3257560445609715E-9,2.6946497281565863E-16,10,10
7760,100,2.3257592964857995E-9,2.6946495753755726E-16,10,10
7780,100,2.325463334528383E-9,2.6946633655499383E-16,10,10
7800,100,2.325123430564204E-9,2.6946792160489876E-16,10,10
7820,100,2.3251234227831413E-9,2.6946792164144816E-16,10,10
7840,100,2.324761775004799E-9,2.6946961335019794E-16,10,10
7860,100,2.3247617777709193E-9,2.6946961333720707E-16,10,10
7880,100,2.324762908155997E-9,2.6946960802849666E-16,10,10
7900,100,2.3247629058039937E-9,2.6946960803954254E-16,10,10
7920,100,2.32476365425272E-9,2.6946960452578883E-16,10,10
7940,100,2.2307754364427023E-9,2.690106346569299E-16,10,10
7960,100,6.704621369132022E-10,4.494973569476895E-17,10,10
7980,100,6.760156686352638E-10,4.494529777998118E-17,10,10
8000,100,6.760156494210743E-10,4.4945297806221805E-17,10,10
8020,100,6.760193229747945E-10,4.4945292790637643E-17,10,10
8040,100,5.004114995859866E-9,1.9122766428019537E-15,10,10
8060,100,5.004128247648844E-9,1.9122765088606823E-15,10,10
8080,100,5.007027419584456E-9,1.912248042756415E-15,10,10
8100,100,6.789306056073857E-10,4.4942159458593694E-17,10,10
8120,100,6.733770732758248E-10,4.4946630077634617E-17,10,10
8140,100,6.733773017357459E-10,4.4946629766852614E-17,10,10
8160,100,6.733773148027272E-10,4.4946629749076805E-17,10,10
8180,100,6.739529233953826E-10,4.494587984784463E-17,10,10
8200,100,6.760862057870759E-10,4.494367849348111E-17,10,10
8220,100,6.760866631052661E-10,4.4943677868880505E-17,10,10
8240,100,6.731886963889493E-10,4.4946776390806066E-17,10,10
8260,100,6.731886579000777E-10,4.494677644314958E-17,10,10
8280,100,6.731884884004653E-10,4.494677667366342E-17,10,10
8300,100,2.2703951938174404E-8,4.85504402857368E-14,10,10
8320,100,2.2033506127984758E-8,4.853533350141019E-14,10,10
8340,100,2.2033542074579805E-8,4.8535331901480066E-14,10,10
8360,100,2.2031145287068582E-8,4.8535437849360265E-14,10,10
